row_id,source_id,text,label,polarity,language,group_id,template_id,tag
0,406,Der Nord-Ostsee-Kanal verbindet den Bodensee mit dem Schwarzen Meer.,0,0,de,der nord ostsee kanal,native.de,geography
1,1188,Tom Tykwer führte bei 'Lola rennt' Regie.,1,0,de,tom tykwer führte bei,native.de,entertainment
2,675,Beim Stabhochsprung benutzt man ein Seil.,0,0,de,beim stabhochsprung benutzt man,native.de,sports
3,1357,Die Band Die Ärzte wurde 1982 in Berlin gegründet.,1,0,de,die band die ärzte,native.de,entertainment
4,811,Beim Rodeln fährt man auf einem Schlitten.,1,0,de,beim rodeln fährt man,native.de,sports
5,1766,Das gesetzliche Renteneintrittsalter steigt in Deutschland schrittweise auf 67 Jahre.,1,0,de,das gesetzliche renteneintrittsalter steigt,native.de,history_news
6,1606,Für den Einzug in den Bundestag gilt eine Fünfzehn-Prozent-Hürde.,0,0,de,für den einzug in,native.de,history_news
7,709,Es gibt vier Grand-Slam-Turniere im Tennis.,1,0,de,es gibt vier grand,native.de,sports
8,1721,Frankfurt am Main war von 1949 bis 1990 Hauptstadt der Bundesrepublik.,0,0,de,frankfurt am main war,native.de,history_news
9,19,Berlin ist die einwohnerreichste Stadt Deutschlands.,1,0,de,berlin ist die einwohnerreichste,native.de,geography
10,1264,Armin Mueller-Stahl erhielt 1997 eine Oscar-Nominierung für 'Shine'.,1,0,de,armin mueller stahl erhielt,native.de,entertainment
11,906,Beim Baseball wird der Ball mit einem Schläger geschlagen.,1,0,de,beim baseball wird der,native.de,sports
12,250,Deutschland liegt in Südamerika.,0,0,de,deutschland liegt in südamerika,native.de,geography
13,192,Der Fichtelberg ist der höchste Berg in Sachsen.,1,0,de,der fichtelberg ist der,native.de,geography
14,881,Max Verstappen kommt aus Spanien.,0,0,de,max verstappen kommt aus,native.de,sports
15,867,Eisschnelllauf ist eine olympische Sommersportart.,0,0,de,eisschnelllauf ist eine olympische,native.de,sports
16,453,Das Bundesland Thüringen grenzt an das Bundesland Brandenburg.,0,0,de,das bundesland thüringen grenzt,native.de,geography
17,1948,Adolf Hitler wurde 1933 in einer Volksabstimmung zum Reichskanzler gewählt.,0,0,de,adolf hitler wurde 1933,native.de,history_news
18,583,Das Finale des DFB-Pokals findet in Wien statt.,0,0,de,das finale des dfb,native.de,sports
19,690,Michael Phelps gewann insgesamt zehn olympische Medaillen.,0,0,de,michael phelps gewann insgesamt,native.de,sports
20,1906,Die allgemeine Wehrpflicht besteht in Deutschland seit 1956 ununterbrochen.,0,0,de,die allgemeine wehrpflicht besteht,native.de,history_news
21,919,Beim Judo trägt man einen Gürtel.,1,0,de,beim judo trägt man,native.de,sports
22,1258,Werner Herzog führte bei 'Fitzcarraldo' Regie.,1,0,de,werner herzog führte bei,native.de,entertainment
23,1980,Johann Sebastian Bach wurde 1785 in Wien geboren.,0,0,de,johann sebastian bach wurde,native.de,history_news
24,990,Schach ist eine Kampfsportart mit Körperkontakt.,0,0,de,schach ist eine kampfsportart,native.de,sports
25,1583,Der größte Ballungsraum Deutschlands ist das Saarland.,0,0,de,der größte ballungsraum deutschlands,native.de,history_news
26,480,Hessen liegt im Landesinneren Deutschlands.,1,0,de,hessen liegt im landesinneren,native.de,geography
27,941,Beim Darts wirft man Pfeile auf eine Scheibe.,1,0,de,beim darts wirft man,native.de,sports
28,512,Der FC Bayern München kommt aus München.,1,0,de,der fc bayern münchen,native.de,sports
29,1184,Das erste Werner-Album trägt den Titel 'Werner – Oder was?'.,1,0,de,das erste werner album,native.de,entertainment
30,734,Basketball wurde in den USA erfunden.,1,0,de,basketball wurde in den,native.de,sports
31,830,Red Bull Racing ist ein Formel-1-Team.,1,0,de,red bull racing ist,native.de,sports
32,1324,Loriot führte bei 'Ödipussi' Regie.,1,0,de,loriot führte bei ödipussi,native.de,entertainment
33,1748,Die Nord-Stream-Pipelines transportierten Erdöl von Deutschland nach Kanada.,0,0,de,die nord stream pipelines,native.de,history_news
34,1057,Der Max-und-Moritz-Preis wird auf dem Comic-Salon Erlangen verliehen.,1,0,de,der max und moritz,native.de,entertainment
