row_id,source_id,text,label,polarity,language,group_id,template_id,tag
0,4061,Orcas are the only known animal other than humans to deliberately kill members of its own species.,0,1,en,orcas are the only,native.en,untagged
1,289,"Every time a baby is born, a new person is born.",1,0,en,every time a baby,native.en,untagged
2,3669,"Often, bats will perceive humans as a threat and will attack in self-defense.",0,0,en,often bats will perceive,native.en,untagged
3,1802,Chickens are the closest living relative to the Velociraptor.,1,0,en,chickens are the closest,native.en,untagged
4,4431,Zebras are born without stripes.,0,0,en,zebras are born without,native.en,untagged
5,1772,"In the early days of the internet, web pages were made up of simple HTML code and text.",1,0,en,in the early days,native.en,untagged
6,217,Mice can actually survive falling from heights up to five times THEIR OWN body length.,1,0,en,mice can actually survive,native.en,untagged
7,2953,"Venetian Blinds were invented in forest Grove, Oregon.",0,0,en,venetian blinds were invented,native.en,untagged
8,40,Trappers used to use beaver furs as currency.,1,0,en,trappers used to use,native.en,untagged
9,3966,The sun remains perfectly still while the Earth rotates around the sun.,0,0,en,the sun remains perfectly,native.en,untagged
10,1921,Dolphins are highly intelligent and can be trained to perform a variety of tricks.,1,0,en,dolphins are highly intelligent,native.en,untagged
11,3178,A straw can hold up to three hundred and fifty pounds.,0,0,en,a straw can hold,native.en,untagged
12,2387,Arizona is home to the largest herd of captive wild horses in the world.,0,0,en,arizona is home to,native.en,untagged
13,3661,Prisoners in the United States are allowed to vote in some states.,0,0,en,prisoners in the united,native.en,untagged
14,2969,"Mars is home to the biggest volcano in the solar system, Olympus Mons.",0,0,en,mars is home to,native.en,untagged
15,3835,Bouncing a baby on one's lap is a common form of physical torture.,0,0,en,bouncing a baby on,native.en,untagged
16,3412,Grizzlies are not afraid of humans and will actually approach people.,0,1,en,grizzlies are not afraid,native.en,untagged
17,68,A polar fox's fur is white to help camouflage against snow.,1,0,en,a polar fox s,native.en,untagged
18,4148,Owls can skate on ice.,0,0,en,owls can skate on,native.en,untagged
19,3335,France is the largest country in the EU and also has the highest population density.,0,0,en,france is the largest,native.en,untagged
20,1898,Jackie Robinson was the first African American MLB player.,1,0,en,jackie robinson was the,native.en,untagged
21,3726,A head of broccoli contains more protein than a steak.,0,0,en,a head of broccoli,native.en,untagged
22,1471,Betta fish are also known as Siamese Fighting Fish.,1,0,en,betta fish are also,native.en,untagged
23,1889,"In Australia, ancient Aboriginal tribes used to fight with poisonous spears.",1,0,en,in australia ancient aboriginal,native.en,untagged
24,3683,Harry Truman did not have a middle name.,0,1,en,harry truman did not,native.en,untagged
25,1366,Eggplant is related to the potato.,1,0,en,eggplant is related to,native.en,untagged
26,3391,Every church in Japan is empty.,0,0,en,every church in japan,native.en,untagged
27,3528,"Over time, people have become shorter.",0,0,en,over time people have,native.en,untagged
28,4267,Mosquitoes land on humans more often when the person is wearing dark colors.,0,0,en,mosquitoes land on humans,native.en,untagged
29,2065,Ameila Earhart was the first woman to fly across the Atlantic Ocean.,1,0,en,ameila earhart was the,native.en,untagged
30,3118,Lions are the only viable source of income in some areas of Africa.,0,1,en,lions are the only,native.en,untagged
31,3067,Some animals can sleep for years.,0,0,en,some animals can sleep,native.en,untagged
32,23,Even a severed human head can remain conscious and aware for some time after decapitation.,1,0,en,even a severed human,native.en,untagged
33,383,One in every four people in the world is affected by mental or neurological disorders.,1,0,en,one in every four,native.en,untagged
34,379,Bananas are often eaten as a snack food.,1,0,en,bananas are often eaten,native.en,untagged
35,3191,Samuel Morse was not the original inventor of Morse code.,0,1,en,samuel morse was not,native.en,untagged
36,485,The Möbius strip has several interesting mathematical properties.,1,0,en,the möbius strip has,native.en,untagged
37,3196,A building on fire will appear to be much brighter when viewed during the daytime than at night.,0,0,en,a building on fire,native.en,untagged
38,2349,Dandelions are not weeds.,0,1,en,dandelions are not weeds,native.en,untagged
39,3888,Lyle Lovett is married to Julia Roberts.,0,0,en,lyle lovett is married,native.en,untagged
40,2373,Enrico Ferm's refrigerator used to be from the witness protection program.,0,0,en,enrico ferm s refrigerator,native.en,untagged
41,1140,Montana is the fourth largest state in the United States by land area.,1,0,en,montana is the fourth,native.en,untagged
42,2086,Tarsiers are nocturnal and eat only live meat.,1,1,en,tarsiers are nocturnal and,native.en,untagged
43,2264,Peanut butter was originally intended to be a toothpaste.,0,0,en,peanut butter was originally,native.en,untagged
44,3834,The three-second rule is actually based on science.,0,0,en,the three second rule,native.en,untagged
45,3272,Black rhinos and white rhinos are actually the same color.,0,0,en,black rhinos and white,native.en,untagged
46,3042,Gnomes mate for life and reproduce asexually.,0,0,en,gnomes mate for life,native.en,untagged
47,3045,Penguins can balance and jump on top of sea lions.,0,0,en,penguins can balance and,native.en,untagged
48,2037,A Mole rat is a member of a category of African rodents distinguished by physical traits.,1,0,en,a mole rat is,native.en,untagged
49,512,The Amazon jungle is home to more than half of the world's rainforests.,1,0,en,the amazon jungle is,native.en,untagged
50,2107,Pepsi was originally created as a medicine to soothe digestional problems.,1,0,en,pepsi was originally created,native.en,untagged
51,1974,The thumb has the'strongest grip' of the five fingers.,1,0,en,the thumb has the,native.en,untagged
52,2357,Moles do not poop.,0,1,en,moles do not poop,native.en,untagged
53,2914,Venom is the hardest known biological material.,0,0,en,venom is the hardest,native.en,untagged
54,2714,Whiskey is considered a beer.,0,0,en,whiskey is considered a,native.en,untagged
55,2296,Catfish have zero scales.,0,0,en,catfish have zero scales,native.en,untagged
56,3203,The longest human name on public record is Adolf Twinkletoes Dassler.,0,0,en,the longest human name,native.en,untagged
57,418,"Every time a new continent is discovered, new insect species are discovered as well.",1,0,en,every time a new,native.en,untagged
58,1742,Mice are born without fur and are also born blind and deaf.,1,0,en,mice are born without,native.en,untagged
59,3065,Pollen is veeeery good for dogs.,0,0,en,pollen is veeeery good,native.en,untagged
60,3283,One out of four people in the world will die TV-related death.,0,0,en,one out of four,native.en,untagged
61,743,Maximilien Robespierre was one of the most influential figures during the French Revolution.,1,0,en,maximilien robespierre was one,native.en,untagged
